stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
10244,56986,"2040 Wehrle Drive",,42.956519,-78.718092,1,0
10248,33465,"55 Melroy Avenue",,42.826709,-78.820921,1,0
10250,57470,"West Genesee Street & 7th Street",,42.884899,-78.881750,1,0
10251,57480,"7th Street & West Genesee Street",,42.885299,-78.881744,1,0
10254,50841,"Rainbow Boulevard & Michael O'Laughlin Drive",,43.086898,-79.062852,1,0
10256,165,"3rd Street & Old Falls Boulevard",,43.086238,-79.058923,1,0
10258,58005,"William Street & Hedley St",,42.884348,-78.786961,1,0
10259,57802,"William Street & Celina St",,42.884469,-78.787311,1,0
10263,4985,"Broadway & Bailey Avenue",,42.896800,-78.814111,1,0
10265,4271,"Big Tree Road & Orchard Pk Park and Ride",,42.763609,-78.762092,1,0
10267,17204,"Factory Outlet Blvd & Niagara Falls Transit Ctr",,43.100747,-78.979651,1,0
10268,42775,"Pine Avenue & Hyde Park Boulevard",,43.095228,-79.023991,1,0
10269,42765,"Pine Avenue & Hyde Park Boulevard",,43.095028,-79.024003,1,0
10270,46020,"Sawyer Drive & Sawyer Gardens Apt",,43.091499,-78.935131,1,0
10274,45435,"Route 5 & Wayne Drive",,42.701208,-78.980542,1,0
10275,45325,"Route 5 & Sweetland Road",,42.685048,-79.012971,1,0
10276,44945,"Route 5 & Hamilton Drive",,42.701690,-78.979521,1,0
10277,45475,"Route 5 & West Lane",,42.727429,-78.925254,1,0
10278,44786,"Route 5 & Delameter Road",,42.691858,-79.000763,1,0
10279,45465,"Route 5 & Wellington Drive",,42.701830,-78.978711,1,0
10280,44915,"Route 5 & Fairway Court",,42.720779,-78.937591,1,0
10281,45265,"Route 5 & Shoreham Drive",,42.721718,-78.935751,1,0
10282,45185,"Route 5 & Revere Drive",,42.703709,-78.975032,1,0
10283,44845,"Route 5 & Eckhardt Road",,42.712070,-78.956502,1,0
10284,45015,"Route 5 & Lakeview Road",,42.718219,-78.942981,1,0
10285,44665,"Route 5 & Birchwood Drive",,42.724579,-78.928762,1,0
10286,58437,"Williams Road & Lancelot Drive",,43.084528,-78.940782,1,0
10287,58435,"Williams Road & Lancelot Drive",,43.084018,-78.940560,1,0
10288,45345,"Route 5 & South Creek Road",,42.708239,-78.964690,1,0
10289,44815,"Route 5 & Dover Road",,42.723459,-78.931492,1,0
10290,58405,"7049 Williams Road",,43.078839,-78.940362,1,0
10298,58406,"7050 Williams Road",,43.078718,-78.940891,1,0
10301,42777,"Pine Avenue & Main Street",,43.094379,-79.056283,1,0
10302,28700,"2107 Liberty Drive",,43.077288,-78.937801,1,0
10303,58482,"Williams Road & River Road",,43.071758,-78.940501,1,0
10306,58442,"Williams Road & Liberty Drive",,43.077408,-78.940603,1,0
10307,25065,"Hyde Park Boulevard & LaSalle Avenue",,43.099758,-79.026174,1,0
10308,25006,"Hyde Park Boulevard & Independence Avenue",,43.097210,-79.025281,1,0
10309,25005,"Hyde Park Boulevard & Independence Avenue",,43.096957,-79.024952,1,0
10310,24996,"Hyde Park Boulevard & Grand Avenue",,43.096259,-79.024842,1,0
10311,25201,"Hyde Park Boulevard & Porter Road",,43.107308,-79.029803,1,0
10312,28780,"Ontario Avenue & 15th Street",,43.108669,-79.043850,1,0
10313,28777,"11th Street & LaSalle Avenue",,43.100128,-79.049902,1,0
10314,25066,"Hyde Park Boulevard & LaSalle Avenue",,43.099958,-79.026503,1,0
10315,28775,"11th Street & LaSalle Avenue",,43.099879,-79.049821,1,0
10316,28785,"11th Street & Pierce Avenue",,43.101879,-79.049433,1,0
10317,28765,"Ontario Avenue & 11th Street",,43.108598,-79.049211,1,0
10319,28790,"Ontario Avenue & 11th Street",,43.108700,-79.048872,1,0
10320,28772,"Ontario Avenue & 13th Street",,43.108568,-79.046482,1,0
10321,28770,"Ontario Avenue & 13th Street",,43.108689,-79.046241,1,0
10322,28782,"Ontario Avenue & 15th Street",,43.108560,-79.044102,1,0
10323,24995,"Hyde Park Boulevard & Grand Avenue",,43.096078,-79.024423,1,0
10324,8480,"Centre Avenue & 22nd Street",,43.113437,-79.035854,1,0
10333,53460,"Transit Road & Prism Health Network",,42.840279,-78.697022,1,0
10334,19315,"Galleria Drive & Midway West",,42.915839,-78.763900,1,0
10336,23805,"Hertel Avenue & Riverside HS@PS51",,42.941779,-78.903143,1,0
10338,55601,"1476 Walden Avenue",,42.906928,-78.781872,1,0
10341,52064,"South Ogden Street & Casimir Street",,42.868718,-78.802192,1,0
10342,52157,"South Ogden Street & Mineral Springs Road",,42.861187,-78.802320,1,0
10343,52062,"South Ogden Street & Casimir Street",,42.868529,-78.802033,1,0
10344,52156,"South Ogden Street & Mineral Springs Road",,42.861519,-78.802160,1,0
10345,42435,"Maryland Street & College Street",,42.898469,-78.879373,1,0
10346,17335,"East Ferry Street & Main Street",,42.915228,-78.864232,1,0
10347,51445,"Sweet Home Road & Northpointe Parkway",,43.038028,-78.799793,1,0
10348,51440,"Sweet Home Road & Northpointe Parkway",,43.037707,-78.799522,1,0
